Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
00919 群益台灣精選高息,2025/11,M2600,航運業,-,6.36,"25,609,992",-,-3.437,
00919 群益台灣精選高息,2025/11,M2800,金融業(合計),-,40.88,"164,612,655",-,1.1873,
00919 群益台灣精選高息,2025/11,MTSE,國內上市,-,56.54,"227,671,221",-,-2.1495,
00919 群益台灣精選高息,2025/11,TT99,基金總規模,-,-,"402,672,835",-,-,
00920 富邦ESG綠色電力,2025/11,-,-,-,-,-,-,-,-
00921 兆豐龍頭等權重,2025/11,1303,南亞,"1,737",5.73,"102,469",0.02,42.1689,TW0001303006
00921 兆豐龍頭等權重,2025/11,1519,華城,111,4.36,"77,969",0.04,-2.0979,TW0001519007
00921 兆豐龍頭等權重,2025/11,2330,台積電,50,3.99,"71,352",0,-3.9998,TW0002330008
00921 兆豐龍頭等權重,2025/11,2383,台光電,59,5.07,"90,666",0.02,12.1324,TW0002383007
00921 兆豐龍頭等權重,2025/11,2404,漢唐,91,4.06,"72,604",0.05,-7.0766,TW0002404001
00921 兆豐龍頭等權重,2025/11,M1300,塑膠工業,-,5.73,"102,469",-,21.9618,
00921 兆豐龍頭等權重,2025/11,M1500,電機機械,-,4.36,"77,969",-,-8.8799,
00921 兆豐龍頭等權重,2025/11,M2300,電子工業,-,13.12,"234,623",-,-3.1657,
00921 兆豐龍頭等權重,2025/11,MTSE,國內上市,-,23.21,"415,061",-,-2.1495,
00921 兆豐龍頭等權重,2025/11,TT99,基金總規模,-,-,"1,788,283",-,-,
00922 國泰台灣領袖50,2025/11,2308,台達電,"1,796",4.13,"1,673,751",0.07,-6.3316,TW0002308004
00922 國泰台灣領袖50,2025/11,2317,鴻海,"10,010",5.57,"2,257,334",0.07,-12.4272,TW0002317005
00922 國泰台灣領袖50,2025/11,2330,台積電,"11,820",42,"17,021,193",0.05,-3.9998,TW0002330008
00922 國泰台灣領袖50,2025/11,2454,聯發科,"1,229",4.23,"1,714,277",0.08,6.4885,TW0002454006
00922 國泰台灣領袖50,2025/11,6669,緯穎,177,2,"810,533",0.1,4.6964,TW0006669005
00922 國泰台灣領袖50,2025/11,M2300,電子工業,-,57.93,"23,477,088",-,-3.1657,
00922 國泰台灣領袖50,2025/11,MTSE,國內上市,-,57.93,"23,477,088",-,-2.1495,
00922 國泰台灣領袖50,2025/11,TT99,基金總規模,-,-,"40,526,649",-,-,
00923 群益台ESG低碳50,2025/11,2308,台達電,"1,254",5.85,"1,168,430",0.05,-6.3316,TW0002308004
00923 群益台ESG低碳50,2025/11,2317,鴻海,"7,148",8.07,"1,611,834",0.05,-12.4272,TW0002317005
00923 群益台ESG低碳50,2025/11,2330,台積電,"5,708",41.15,"8,218,955",0.02,-3.9998,TW0002330008
00923 群益台ESG低碳50,2025/11,2382,廣達,"1,594",2.25,"449,396",0.04,-6.1564,TW0002382009
00923 群益台ESG低碳50,2025/11,2454,聯發科,891,6.22,"1,242,330",0.06,6.4885,TW0002454006
00923 群益台ESG低碳50,2025/11,M2300,電子工業,-,63.54,"12,690,945",-,-3.1657,
00923 群益台ESG低碳50,2025/11,MTSE,國內上市,-,63.54,"12,690,945",-,-2.1495,
00923 群益台ESG低碳50,2025/11,TT99,基金總規模,-,-,"19,973,158",-,-,
00924 復華S&P500成長,2025/11,-,-,-,-,-,-,-,-
00925 新光標普電動車,2025/11,-,-,-,-,-,-,-,-
00926 凱基全球菁英55,2025/11,-,-,-,-,-,-,-,-
00927 群益半導體收益,2025/11,2303,聯電,"13,224",5.9,"605,654",0.11,-1.293,TW0002303005
00927 群益半導體收益,2025/11,2330,台積電,"1,195",16.76,"1,720,467",0,-3.9998,TW0002330008
00927 群益半導體收益,2025/11,2454,聯發科,713,9.69,"994,709",0.04,6.4885,TW0002454006
00927 群益半導體收益,2025/11,3711,日月光投控,"3,377",7.55,"775,031",0.08,-7.2725,TW0003711008
00927 群益半導體收益,2025/11,8299,群聯,488,5.32,"546,115",0.23,5.1642,TW0008299009
00927 群益半導體收益,2025/11,M2300,電子工業,-,45.22,"4,641,976",-,-3.1657,
00927 群益半導體收益,2025/11,MOTC,國內上櫃,-,5.32,"546,115",-,-0.768,
00927 群益半導體收益,2025/11,MTSE,國內上市,-,39.9,"4,095,861",-,-2.1495,
00927 群益半導體收益,2025/11,TT99,基金總規模,-,-,"10,265,316",-,-,
00928 中信上櫃ESG 30,2025/11,-,-,-,-,-,-,-,-
00929 復華台灣科技優息,2025/11,2301,光寶科,"62,251",7.5,"9,897,857",2.69,-11.4207,TW0002301009
00929 復華台灣科技優息,2025/11,2303,聯電,"209,195",7.26,"9,581,125",1.67,-1.293,TW0002303005
00929 復華台灣科技優息,2025/11,2357,華碩,"12,363",5.63,"7,429,991",1.66,-13.7733,TW0002357001
00929 復華台灣科技優息,2025/11,3034,聯詠,"17,280",5.1,"6,730,543",2.84,-0.8907,TW0003034005
00929 復華台灣科技優息,2025/11,4938,和碩,"95,913",5.24,"6,915,303",3.58,-2.8303,TW0004938006
00929 復華台灣科技優息,2025/11,M2300,電子工業,-,30.73,"40,554,819",-,-3.1657,
00929 復華台灣科技優息,2025/11,MTSE,國內上市,-,30.73,"40,554,819",-,-2.1495,
00929 復華台灣科技優息,2025/11,TT99,基金總規模,-,-,"131,971,424",-,-,
00930 永豐ESG低碳高息,2025/11,1477,聚陽,978,6.35,"309,503",0.4,17.658,TW0001477008
00930 永豐ESG低碳高息,2025/11,2303,聯電,"6,673",6.27,"305,604",0.05,-1.293,TW0002303005
00930 永豐ESG低碳高息,2025/11,2317,鴻海,"1,208",5.59,"272,460",0.01,-12.4272,TW0002317005
00930 永豐ESG低碳高息,2025/11,2474,可成,"1,739",7.17,"349,471",0.28,1.2591,TW0002474004
00930 永豐ESG低碳高息,2025/11,2891,中信金,"6,416",5.72,"278,797",0.03,3.8231,TW0002891009
00930 永豐ESG低碳高息,2025/11,M1400,紡織纖維,-,6.35,"309,503",-,7.7749,
00930 永豐ESG低碳高息,2025/11,M2300,電子工業,-,19.03,"927,535",-,-3.1657,
00930 永豐ESG低碳高息,2025/11,M2800,金融業(合計),-,5.72,"278,797",-,1.1873,
00930 永豐ESG低碳高息,2025/11,MTSE,國內上市,-,31.1,"1,515,835",-,-2.1495,
00930 永豐ESG低碳高息,2025/11,TT99,基金總規模,-,-,"4,874,067",-,-,
00932 兆豐永續高息等權,2025/11,2327,國巨*,400,2.56,"94,078",0.02,-5.6227,TW0002327004
00932 兆豐永續高息等權,2025/11,2451,創見,584,2.91,"106,940",0.14,38.1133,TW0002451002
00932 兆豐永續高息等權,2025/11,3090,日電貿,938,2.27,"83,420",0.33,-1.4414,TW0003090007
00932 兆豐永續高息等權,2025/11,3264,欣銓,906,2.25,"82,685",0.18,-2.353,TW0003264008
00932 兆豐永續高息等權,2025/11,8112,至上,"1,562",2.95,"108,410",0.3,5.1513,TW0008112004
00932 兆豐永續高息等權,2025/11,M2300,電子工業,-,12.94,"475,533",-,-3.1657,
00932 兆豐永續高息等權,2025/11,MOTC,國內上櫃,-,2.25,"82,685",-,-0.768,
00932 兆豐永續高息等權,2025/11,MTSE,國內上市,-,10.69,"392,848",-,-2.1495,
00932 兆豐永續高息等權,2025/11,TT99,基金總規模,-,-,"3,674,908",-,-,
00934 中信成長高股息,2025/11,-,-,-,-,-,-,-,-
00935 野村創新科技50,2025/11,2308,台達電,"1,470",11.24,"1,369,784",0.06,-6.3316,TW0002308004
00935 野村創新科技50,2025/11,2330,台積電,"2,464",29.11,"3,547,546",0.01,-3.9998,TW0002330008
00935 野村創新科技50,2025/11,2345,智邦,384,3.23,"393,630",0.07,-5.0926,TW0002345006
00935 野村創新科技50,2025/11,2454,聯發科,"1,054",12.07,"1,470,934",0.07,6.4885,TW0002454006
00935 野村創新科技50,2025/11,3711,日月光投控,"2,289",4.31,"525,246",0.05,-7.2725,TW0003711008
00935 野村創新科技50,2025/11,M2300,電子工業,-,59.96,"7,307,141",-,-3.1657,
00935 野村創新科技50,2025/11,MTSE,國內上市,-,59.96,"7,307,141",-,-2.1495,
00935 野村創新科技50,2025/11,TT99,基金總規模,-,-,"12,186,692",-,-,
00936 台新永續高息中小,2025/11,1477,聚陽,"1,525",4.87,"482,594",0.62,17.658,TW0001477008
00936 台新永續高息中小,2025/11,2404,漢唐,672,5.43,"538,087",0.35,-7.0766,TW0002404001
00936 台新永續高息中小,2025/11,2449,京元電子,"3,639",8.41,"833,391",0.3,5.5299,TW0002449006
00936 台新永續高息中小,2025/11,3036,文曄,"3,465",5,"495,476",0.27,0.0002,TW0003036000
00936 台新永續高息中小,2025/11,8299,群聯,617,6.97,"690,694",0.29,5.1642,TW0008299009
00936 台新永續高息中小,2025/11,M1400,紡織纖維,-,4.87,"482,594",-,7.7749,
00936 台新永續高息中小,2025/11,M2300,電子工業,-,25.81,"2,557,649",-,-3.1657,
00936 台新永續高息中小,2025/11,MOTC,國內上櫃,-,6.97,"690,694",-,-0.768,
00936 台新永續高息中小,2025/11,MTSE,國內上市,-,23.71,"2,349,549",-,-2.1495,
00936 台新永續高息中小,2025/11,TT99,基金總規模,-,-,"9,909,529",-,-,
00938 凱基優選30,2025/11,-,-,-,-,-,-,-,-
00939 統一台灣高息動能,2025/11,2357,華碩,"2,696",5.36,"1,620,394",0.36,-13.7733,TW0002357001
00939 統一台灣高息動能,2025/11,2881,富邦金,"22,494",6.89,"2,082,932",0.16,1.5352,TW0002881000
00939 統一台灣高息動能,2025/11,2882,國泰金,"29,195",6.2,"1,874,336",0.2,0.3123,TW0002882008
00939 統一台灣高息動能,2025/11,2885,元大金,"45,137",5.39,"1,629,463",0.34,4.6377,TW0002885001
00939 統一台灣高息動能,2025/11,2891,中信金,"44,738",6.43,"1,943,868",0.23,3.8231,TW0002891009
00939 統一台灣高息動能,2025/11,M2300,電子工業,-,5.36,"1,620,394",-,-3.1657,
00939 統一台灣高息動能,2025/11,M2800,金融業(合計),-,24.91,"7,530,600",-,1.1873,
00939 統一台灣高息動能,2025/11,MTSE,國內上市,-,30.27,"9,150,994",-,-2.1495,
00939 統一台灣高息動能,2025/11,TT99,基金總規模,-,-,"30,231,232",-,-,
00940 元大台灣價值高息,2025/11,-,-,-,-,-,-,-,-
00941 中信上游半導體,2025/11,-,-,-,-,-,-,-,-
00943 兆豐電子高息等權,2025/11,3357,臺慶科,144,3.04,"23,172",0.13,6.9766,TW0003357000
00943 兆豐電子高息等權,2025/11,5371,中光電,251,3.06,"23,324",0.06,6.2784,TW0005371009
00943 兆豐電子高息等權,2025/11,6138,茂達,89,2.82,"21,495",0.12,0.6266,TW0006138001
00943 兆豐電子高息等權,2025/11,8046,南電,133,4.59,"34,986",0.02,-9.6385,TW0008046004
00943 兆豐電子高息等權,2025/11,8150,南茂,490,2.75,"20,961",0.07,31.5385,TW0008150004
00943 兆豐電子高息等權,2025/11,M2300,電子工業,-,16.26,"123,938",-,-3.1657,
00943 兆豐電子高息等權,2025/11,MOTC,國內上櫃,-,8.92,"67,991",-,-0.768,
00943 兆豐電子高息等權,2025/11,MTSE,國內上市,-,7.34,"55,948",-,-2.1495,
00943 兆豐電子高息等權,2025/11,TT99,基金總規模,-,-,"762,228",-,-,
00944 野村趨勢動能高息,2025/11,2891,中信金,"1,067",2.76,"46,366",0.01,3.8231,TW0002891009
00944 野村趨勢動能高息,2025/11,3036,文曄,312,2.66,"44,686",0.02,0.0002,TW0003036000
00944 野村趨勢動能高息,2025/11,6139,亞翔,111,3.02,"50,734",0.05,-4.8065,TW0006139009
00944 野村趨勢動能高息,2025/11,6274,台燿,101,2.65,"44,518",0.04,14.1375,TW0006274004
00944 野村趨勢動能高息,2025/11,6691,洋基工程,88,2.63,"44,182",0.07,9.3479,TW0006691009
00944 野村趨勢動能高息,2025/11,M2300,電子工業,-,10.96,"184,120",-,-3.1657,
00944 野村趨勢動能高息,2025/11,M2800,金融業(合計),-,2.76,"46,366",-,1.1873,
00944 野村趨勢動能高息,2025/11,MOTC,國內上櫃,-,2.65,"44,518",-,-0.768,
00944 野村趨勢動能高息,2025/11,MTSE,國內上市,-,11.07,"185,967",-,-2.1495,
00944 野村趨勢動能高息,2025/11,TT99,基金總規模,-,-,"1,679,923",-,-,
00946 群益科技高息成長,2025/11,2303,聯電,"10,878",7.18,"498,198",0.09,-1.293,TW0002303005
00946 群益科技高息成長,2025/11,2357,華碩,906,7.85,"544,687",0.12,-13.7733,TW0002357001
00946 群益科技高息成長,2025/11,2404,漢唐,925,10.68,"741,052",0.49,-7.0766,TW0002404001
00946 群益科技高息成長,2025/11,3211,順達,"1,587",6.06,"420,485",1.03,-13.6806,TW0003211009
00946 群益科技高息成長,2025/11,6139,亞翔,"1,529",10.04,"696,644",0.65,-4.8065,TW0006139009
00946 群益科技高息成長,2025/11,M2300,電子工業,-,41.81,"2,901,066",-,-3.1657,
00946 群益科技高息成長,2025/11,MOTC,國內上櫃,-,6.06,"420,485",-,-0.768,
00946 群益科技高息成長,2025/11,MTSE,國內上市,-,35.75,"2,480,581",-,-2.1495,
00946 群益科技高息成長,2025/11,TT99,基金總規模,-,-,"6,938,689",-,-,
00947 台新臺灣IC設計,2025/11,2308,台達電,188,8.7,"175,230",0.01,-6.3316,TW0002308004
00947 台新臺灣IC設計,2025/11,2454,聯發科,143,9.9,"199,399",0.01,6.4885,TW0002454006
00947 台新臺灣IC設計,2025/11,3443,創意,72,8.08,"162,742",0.05,47.7125,TW0003443008
00947 台新臺灣IC設計,2025/11,5274,信驊,25,9.08,"182,883",0.07,33.7292,TW0005274005
00947 台新臺灣IC設計,2025/11,8299,群聯,141,7.84,"157,908",0.07,5.1642,TW0008299009
00947 台新臺灣IC設計,2025/11,M2300,電子工業,-,43.6,"878,163",-,-3.1657,
00947 台新臺灣IC設計,2025/11,MOTC,國內上櫃,-,16.92,"340,792",-,-0.768,
00947 台新臺灣IC設計,2025/11,MTSE,國內上市,-,26.68,"537,371",-,-2.1495,
00947 台新臺灣IC設計,2025/11,TT99,基金總規模,-,-,"2,014,135",-,-,
00949 復華日本龍頭,2025/11,-,-,-,-,-,-,-,-
00951 台新日本半導體,2025/11,-,-,-,-,-,-,-,-
00952 凱基台灣AI50,2025/11,-,-,-,-,-,-,-,-
00954 中信日本半導體,2025/11,-,-,-,-,-,-,-,-
00955 中信日本商社,2025/11,-,-,-,-,-,-,-,-
00956 中信日經高股息,2025/11,-,-,-,-,-,-,-,-
00960 野村全球航運龍頭,2025/11,-,-,-,-,-,-,-,-
00961 FT臺灣永續高息,2025/11,2371,大同,"2,964",4.17,"99,145",0.14,-7.5966,TW0002371002
00961 FT臺灣永續高息,2025/11,2385,群光,808,4.08,"97,005",0.11,-7.6924,TW0002385002
00961 FT臺灣永續高息,2025/11,2603,長榮,"1,042",7.87,"187,115",0.05,-7.2353,TW0002603008
00961 FT臺灣永續高息,2025/11,2609,陽明,"2,935",6.42,"152,640",0.08,-9.5652,TW0002609005
00961 FT臺灣永續高息,2025/11,6176,瑞儀,803,4.07,"96,767",0.17,-8.7121,TW0006176001
00961 FT臺灣永續高息,2025/11,M1500,電機機械,-,4.17,"99,145",-,-8.8799,
00961 FT臺灣永續高息,2025/11,M2300,電子工業,-,8.15,"193,772",-,-3.1657,
00961 FT臺灣永續高息,2025/11,M2600,航運業,-,14.29,"339,755",-,-3.437,
00961 FT臺灣永續高息,2025/11,MTSE,國內上市,-,26.61,"632,672",-,-2.1495,
00961 FT臺灣永續高息,2025/11,TT99,基金總規模,-,-,"2,377,574",-,-,
00962 台新AI優息動能,2025/11,1504,東元,553,7.18,"48,529",0.02,-24.7211,TW0001504009
00962 台新AI優息動能,2025/11,1590,亞德客-KY,32,4.28,"28,928",0.02,-0.8781,KYG014081064
00962 台新AI優息動能,2025/11,2317,鴻海,240,8.01,"54,139",0,-12.4272,TW0002317005
00962 台新AI優息動能,2025/11,3231,緯創,313,6.69,"45,217",0.01,-3.9868,TW0003231007
00962 台新AI優息動能,2025/11,5536,聖暉*,40,4.12,"27,847",0.03,-9.6104,TW0005536007
00962 台新AI優息動能,2025/11,M1500,電機機械,-,11.46,"77,458",-,-8.8799,
00962 台新AI優息動能,2025/11,M2300,電子工業,-,18.82,"127,204",-,-3.1657,
00962 台新AI優息動能,2025/11,MOTC,國內上櫃,-,4.12,"27,847",-,-0.768,
00962 台新AI優息動能,2025/11,MTSE,國內上市,-,26.16,"176,815",-,-2.1495,
00962 台新AI優息動能,2025/11,TT99,基金總規模,-,-,"675,896",-,-,
00963 中信全球高股息,2025/11,-,-,-,-,-,-,-,-
00964 中信亞太高股息,2025/11,-,-,-,-,-,-,-,-
00965 元大航太防衛科技,2025/11,-,-,-,-,-,-,-,-
00971 野村美國研發龍頭,2025/11,-,-,-,-,-,-,-,-
00972 野村日本動能高息,2025/11,-,-,-,-,-,-,-,-
009800 中信NASDAQ,2025/11,-,-,-,-,-,-,-,-
009801 中信美國創新科技,2025/11,-,-,-,-,-,-,-,-
009802 富邦旗艦50,2025/11,2308,台達電,"1,077",14.04,"1,003,956",0.04,-6.3316,TW0002308004
009802 富邦旗艦50,2025/11,2317,鴻海,"5,572",17.57,"1,256,375",0.04,-12.4272,TW0002317005
009802 富邦旗艦50,2025/11,2345,智邦,304,4.36,"311,770",0.05,-5.0926,TW0002345006
009802 富邦旗艦50,2025/11,2454,聯發科,637,12.43,"888,830",0.04,6.4885,TW0002454006
009802 富邦旗艦50,2025/11,2881,富邦金,"3,452",4.47,"319,635",0.02,1.5352,TW0002881000
009802 富邦旗艦50,2025/11,M2300,電子工業,-,48.4,"3,460,930",-,-3.1657,
009802 富邦旗艦50,2025/11,M2800,金融業(合計),-,4.47,"319,635",-,1.1873,
009802 富邦旗艦50,2025/11,MTSE,國內上市,-,52.87,"3,780,566",-,-2.1495,
009802 富邦旗艦50,2025/11,TT99,基金總規模,-,-,"7,150,682",-,-,
009803 保德信市值動能50,2025/11,2308,台達電,56,3.99,"52,133",0,-6.3316,TW0002308004
009803 保德信市值動能50,2025/11,2317,鴻海,560,9.67,"126,348",0,-12.4272,TW0002317005
009803 保德信市值動能50,2025/11,2330,台積電,314,34.6,"452,083",0,-3.9998,TW0002330008
009803 保德信市值動能50,2025/11,2454,聯發科,60,6.41,"83,753",0,6.4885,TW0002454006
009803 保德信市值動能50,2025/11,2881,富邦金,643,4.56,"59,581",0,1.5352,TW0002881000
009803 保德信市值動能50,2025/11,M2300,電子工業,-,54.67,"714,317",-,-3.1657,
009803 保德信市值動能50,2025/11,M2800,金融業(合計),-,4.56,"59,581",-,1.1873,
009803 保德信市值動能50,2025/11,MTSE,國內上市,-,59.23,"773,898",-,-2.1495,
009803 保德信市值動能50,2025/11,TT99,基金總規模,-,-,"1,306,598",-,-,
009804 聯邦台精彩50,2025/11,2308,台達電,92,5.29,"86,000",0,-6.3316,TW0002308004
009804 聯邦台精彩50,2025/11,2317,鴻海,619,8.58,"139,486",0,-12.4272,TW0002317005
009804 聯邦台精彩50,2025/11,2330,台積電,361,31.94,"519,252",0,-3.9998,TW0002330008
009804 聯邦台精彩50,2025/11,2454,聯發科,75,6.46,"105,021",0,6.4885,TW0002454006
009804 聯邦台精彩50,2025/11,2881,富邦金,425,2.42,"39,342",0,1.5352,TW0002881000
009804 聯邦台精彩50,2025/11,M2300,電子工業,-,52.27,"849,759",-,-3.1657,
009804 聯邦台精彩50,2025/11,M2800,金融業(合計),-,2.42,"39,342",-,1.1873,
009804 聯邦台精彩50,2025/11,MTSE,國內上市,-,54.69,"889,101",-,-2.1495,
009804 聯邦台精彩50,2025/11,TT99,基金總規模,-,-,"1,625,710",-,-,
009805 新光美國電力基建,2025/11,-,-,-,-,-,-,-,-
009806 台新標普500,2025/11,-,-,-,-,-,-,-,-
009807 台新標普科技精選,2025/11,-,-,-,-,-,-,-,-
009808 華南永昌優選50,2025/11,2308,台達電,67,5.97,"62,454",0,-6.3316,TW0002308004
009808 華南永昌優選50,2025/11,2317,鴻海,385,8.3,"86,829",0,-12.4272,TW0002317005
009808 華南永昌優選50,2025/11,2330,台積電,252,34.69,"362,902",0,-3.9998,TW0002330008
009808 華南永昌優選50,2025/11,2454,聯發科,48,6.4,"66,952",0,6.4885,TW0002454006
009808 華南永昌優選50,2025/11,2881,富邦金,322,2.85,"29,815",0,1.5352,TW0002881000
009808 華南永昌優選50,2025/11,M2300,電子工業,-,55.36,"579,137",-,-3.1657,
009808 華南永昌優選50,2025/11,M2800,金融業(合計),-,2.85,"29,815",-,1.1873,
009808 華南永昌優選50,2025/11,MTSE,國內上市,-,58.21,"608,952",-,-2.1495,
009808 華南永昌優選50,2025/11,TT99,基金總規模,-,-,"1,046,130",-,-,
009809 富邦淨零ESG50,2025/11,2303,聯電,"1,309",7.08,"59,968",0.01,-1.293,TW0002303005
009809 富邦淨零ESG50,2025/11,2330,台積電,205,34.85,"295,182",0,-3.9998,TW0002330008
009809 富邦淨零ESG50,2025/11,2412,中華電,333,5.13,"43,452",0,-0.3817,TW0002412004
009809 富邦淨零ESG50,2025/11,2885,元大金,868,3.7,"31,339",0.01,4.6377,TW0002885001
009809 富邦淨零ESG50,2025/11,3711,日月光投控,318,8.62,"73,012",0.01,-7.2725,TW0003711008
009809 富邦淨零ESG50,2025/11,M2300,電子工業,-,55.68,"471,614",-,-3.1657,
009809 富邦淨零ESG50,2025/11,M2800,金融業(合計),-,3.7,"31,339",-,1.1873,
009809 富邦淨零ESG50,2025/11,MTSE,國內上市,-,59.38,"502,954",-,-2.1495,
009809 富邦淨零ESG50,2025/11,TT99,基金總規模,-,-,"847,008",-,-,
00980A 主動野村臺灣優選,2025/11,-,-,-,-,-,-,-,-
00980D 聯博投等入息,2025/11,-,-,-,-,-,-,-,-
00980T 平衡凱基美TOP,2025/11,-,-,-,-,-,-,-,-
009810 保德信全球藍籌,2025/11,-,-,-,-,-,-,-,-
009811 統一美國50,2025/11,-,-,-,-,-,-,-,-
009812 野村日本東證,2025/11,-,-,-,-,-,-,-,-
009813 貝萊德標普卓50,2025/11,-,-,-,-,-,-,-,-
00981A 主動統一台股增長,2025/11,-,-,-,-,-,-,-,-
00981D 主動中信非投等,2025/11,-,-,-,-,-,-,-,-
00981T 凱基雙核收息,2025/11,-,-,-,-,-,-,-,-
00982A 主動群益台灣強棒,2025/11,-,-,-,-,-,-,-,-
00982D 主動富邦動態入息,2025/11,-,-,-,-,-,-,-,-
00983A 主動中信ARK創新,2025/11,-,-,-,-,-,-,-,-
00983D 主動富邦複合收益,2025/11,-,-,-,-,-,-,-,-
00984A 主動安聯台灣高息,2025/11,-,-,-,-,-,-,-,-
00985A 主動野村台灣50,2025/11,-,-,-,-,-,-,-,-
00986A 主動台新龍頭,2025/11,-,-,-,-,-,-,-,-
00988A 主動統一全創,2025/11,-,-,-,-,-,-,-,-
00989A 摩根美領先科技,2025/11,-,-,-,-,-,-,-,-
AI04 友邦巨鵬,2025/11,-,-,-,-,-,-,-,-
AI05 友邦網路商務,2025/11,-,-,-,-,-,-,-,-
AI06 友邦台商巨航,2025/11,-,-,-,-,-,-,-,-
AI18 友邦台灣靈活配置,2025/11,-,-,-,-,-,-,-,-
AI25 柏瑞中印雙霸,2025/11,-,-,-,-,-,-,-,-
AP06 金復華新平衡,2025/11,-,-,-,-,-,-,-,-
AP07 金復華系統組合,2025/11,-,-,-,-,-,-,-,-
AP08 宏利經典平衡,2025/11,-,-,-,-,-,-,-,-
AP10 金復華精鑽平衡,2025/11,-,-,-,-,-,-,-,-
AS03 法華滿益,2025/11,-,-,-,-,-,-,-,-
AS04 法華開發,2025/11,-,-,-,-,-,-,-,-
AS07 中央國際精鑽,2025/11,-,-,-,-,-,-,-,-
AS10 兆豐國際高科技,2025/11,-,-,-,-,-,-,-,-
AS13 兆豐國際歡喜平衡,2025/11,-,-,-,-,-,-,-,-
AS17 兆豐國際圓滿組合,2025/11,-,-,-,-,-,-,-,-
BR03 奔華磐石,2025/11,-,-,-,-,-,-,-,-
BR04 奔華利基,2025/11,-,-,-,-,-,-,-,-
BR05 奔華高科技,2025/11,-,-,-,-,-,-,-,-
BR06 奔華安定,2025/11,-,-,-,-,-,-,-,-
BR08 倍立全球科技,2025/11,-,-,-,-,-,-,-,-
BR09 倍立中概基金,2025/11,-,-,-,-,-,-,-,-
BR11 貝萊德亞太領航,2025/11,-,-,-,-,-,-,-,-
BR12 奔華台灣動力成長,2025/11,-,-,-,-,-,-,-,-
BT02 合庫巴黎新興亞洲,2025/11,-,-,-,-,-,-,-,-
CA11 群益全球數位,2025/11,-,-,-,-,-,-,-,-
CF04 阿波羅諾貝爾,2025/11,-,-,-,-,-,-,-,-
CF06 台壽保媽祖,2025/11,-,-,-,-,-,-,-,-
CF08 台壽保飛龍成長,2025/11,-,-,-,-,-,-,-,-
CF09 台壽保平衡,2025/11,-,-,-,-,-,-,-,-
CF11 台壽保龍騰優勢,2025/11,-,-,-,-,-,-,-,-
CF13 台壽保中華經貿25,2025/11,-,-,-,-,-,-,-,-
CF17 未來活力旺中小,2025/11,-,-,-,-,-,-,-,-
CH04 中興幸福,2025/11,-,-,-,-,-,-,-,-
CH05 華頓快樂,2025/11,-,-,-,-,-,-,-,-
CH07 華頓典範科技,2025/11,-,-,-,-,-,-,-,-
CH10 華頓台灣旺組合,2025/11,-,-,-,-,-,-,-,-
CH11 華頓全球旺組合,2025/11,-,-,-,-,-,-,-,-
CH12 華頓全球新星股票,2025/11,-,-,-,-,-,-,-,-
CH13 華頓台灣金磚,2025/11,-,-,-,-,-,-,-,-
CI01 匯豐基金,2025/11,-,-,-,-,-,-,-,-
CI02 匯豐萬邦,2025/11,-,-,-,-,-,-,-,-
CI04 匯豐台灣,2025/11,-,-,-,-,-,-,-,-
CI06 匯豐 100,2025/11,-,-,-,-,-,-,-,-
CI14 匯豐歐洲精典組合,2025/11,-,-,-,-,-,-,-,-
CI16 中華佳值,2025/11,-,-,-,-,-,-,-,-
CI20 匯豐環宇精選平衡,2025/11,-,-,-,-,-,-,-,-
CI21 匯豐三高平衡,2025/11,-,-,-,-,-,-,-,-
CI23 匯豐新日本動力組,2025/11,-,-,-,-,-,-,-,-
CI28 匯豐全球新富,2025/11,-,-,-,-,-,-,-,-
CI29 匯豐聚富積極平衡,2025/11,-,-,-,-,-,-,-,-
CI30 匯豐聚富穩健平衡,2025/11,-,-,-,-,-,-,-,-
CP01 保誠威鋒,2025/11,-,-,-,-,-,-,-,-
CP06 瀚亞掌櫃,2025/11,-,-,-,-,-,-,-,-
CP08 保誠金融,2025/11,-,-,-,-,-,-,-,-
CP09 保誠亞太3C,2025/11,-,-,-,-,-,-,-,-
CP11 保誠台資概念,2025/11,-,-,-,-,-,-,-,-
CP18 保誠運籌人生,2025/11,-,-,-,-,-,-,-,-
CP19 保誠理財通二號,2025/11,-,-,-,-,-,-,-,-
CP20 保誠理財通三號,2025/11,-,-,-,-,-,-,-,-
CS01 中信和豐指數,2025/11,-,-,-,-,-,-,-,-
CS05 景順中信店頭,2025/11,-,-,-,-,-,-,-,-
CS06 景順龍,2025/11,-,-,-,-,-,-,-,-
CS11 景順平衡,2025/11,-,-,-,-,-,-,-,-
CS12 景順寰宇先進,2025/11,-,-,-,-,-,-,-,-
CS13 景順中信新價值,2025/11,-,-,-,-,-,-,-,-
CS17 景順台灣精選成長,2025/11,-,-,-,-,-,-,-,-
CS19 景順富麗人生,2025/11,-,-,-,-,-,-,-,-
CS21 景順高股息平衡,2025/11,-,-,-,-,-,-,-,-
CS23 景順日本,2025/11,-,-,-,-,-,-,-,-
CY08 國泰全球雙利,2025/11,-,-,-,-,-,-,-,-
CY10 國泰精選平衡,2025/11,-,-,-,-,-,-,-,-
