Date,Open,High,Low,Close,Volume
2023/01/01,0,0,0,98.62,1000
2023/01/02,0,0,0,99.88,1000
2023/01/03,0,0,0,98.17,1000
2023/01/04,0,0,0,98.54,1000
2023/01/05,0,0,0,97.79,1000
2023/01/06,0,0,0,96.58,1000
2023/01/07,0,0,0,97.12,1000
2023/01/08,0,0,0,96.78,1000
2023/01/09,0,0,0,97.68,1000
2023/01/10,0,0,0,98.31,1000
2023/01/11,0,0,0,98.19,1000
2023/01/12,0,0,0,99.1,1000
2023/01/13,0,0,0,99.74,1000
2023/01/14,0,0,0,100.89,1000
2023/01/15,0,0,0,100.38,1000
2023/01/16,0,0,0,99.39,1000
2023/01/17,0,0,0,97.86,1000
2023/01/18,0,0,0,96.36,1000
2023/01/19,0,0,0,96.64,1000
2023/01/20,0,0,0,96.26,1000
2023/01/21,0,0,0,94.48,1000
2023/01/22,0,0,0,93.68,1000
2023/01/23,0,0,0,95.08,1000
2023/01/24,0,0,0,96.13,1000
2023/01/25,0,0,0,96.08,1000
2023/01/26,0,0,0,95.63,1000
2023/01/27,0,0,0,95.94,1000
2023/01/28,0,0,0,96.19,1000
2023/01/29,0,0,0,97.93,1000
2023/01/30,0,0,0,99.33,1000
2023/01/31,0,0,0,100.47,1000
2023/02/01,0,0,0,101.17,1000
2023/02/02,0,0,0,100.43,1000
2023/02/03,0,0,0,99.97,1000
2023/02/04,0,0,0,98.38,1000
2023/02/05,0,0,0,99.41,1000
2023/02/06,0,0,0,99.01,1000
2023/02/07,0,0,0,97.67,1000
2023/02/08,0,0,0,96.75,1000
2023/02/09,0,0,0,98.26,1000
2023/02/10,0,0,0,98.04,1000
2023/02/11,0,0,0,96.48,1000
2023/02/12,0,0,0,96.51,1000
2023/02/13,0,0,0,97.59,1000
2023/02/14,0,0,0,99.41,1000
2023/02/15,0,0,0,100.08,1000
2023/02/16,0,0,0,101.67,1000
2023/02/17,0,0,0,102.25,1000
2023/02/18,0,0,0,101.45,1000
